Code	Parents	Parent plasmid
PKW2884		pKW001
PKW2885		pKW804
PKW2886		
PKW2887		
PKW2888		
PKW2889		
PKW289		pEG202
PKW2890		
PKW2891		
PKW2892		
PKW2893		
PKW2894		
PKW2895		
PKW2896		
PKW2897		pKW1324
PKW2898		pKW1324
PKW2899		pKW2173
PKW29		pKW30 - pC‰ö BamHI
PKW290		pQE60
PKW2900		
PKW2901		
PKW2902		pKW2900
PKW2903		pKW2901
PKW2904		
PKW2905		2526
PKW2906		2526
PKW2907		
PKW2908		
PKW2909		
PKW291		pQE60
PKW2910		
PKW2911		
PKW2912		
PKW2913		
PKW2914		
PKW2915		
PKW2916		
PKW2917		
PKW2918		pKW1358
PKW2919		pKW2885
PKW292		pQE60
PKW2920		pKW2576
PKW2921		
PKW2922		
PKW2923		pKW803
PKW2924		pKW804
PKW2925		pKW2904
PKW2926		pKW2904
PKW2927		
PKW2928		
PKW2929		
PKW293		pQE60
PKW2930		
PKW2931		
PKW2932		
PKW2933		pKW2926
PKW2934		pKW2888
PKW2935		pKW2888
PKW2936		pKW2860
PKW2937		pKW2859
PKW2938		pKW2902
PKW2939		pKW2903
PKW294		pRSET B
PKW2940		pRS404
PKW2941		pkw348
PKW2942		pkw2941
PKW2943		pkw2420
PKW2944		pkw2321
PKW2945		
PKW2946		
PKW2947		
PKW2948		
PKW2949		
PKW295		pET3d
PKW2950		pkw2949
PKW2951	/MATERIALS/US2205 /MATERIALS/US3436	2312
PKW2952		2312
PKW2953		2312
PKW2954		2421
PKW2955		2421
PKW2956		
PKW2957		
PKW2958		pKW1
PKW2959		pKW1
PKW296		
PKW2960		pKW1
PKW2961		pKW1
PKW2962		
PKW2963		
PKW2964		
PKW2965		
PKW2966		
PKW2967		
PKW2968		
PKW2969		
PKW297		pKW275 - pIMP90
PKW2970		
PKW2971		
PKW2972		
PKW2973		pKW2727
PKW2974		
PKW2975		
PKW2976		
PKW2977		
PKW2978		
PKW2979		pKW2409
PKW298		pGEX-CS
PKW2980		
PKW2981	/MATERIALS/US5470 /MATERIALS/US5471	pKW1008
PKW2982		
PKW2983		
PKW2984		pkw2949
PKW2985		pKW001
PKW2986		pKW001
PKW2987		pKW2459
PKW2988		pKW2459
PKW2989		pKW2979
PKW299		pKW297 - pBS Ran
PKW2990		pKW2979
PKW2991		pKW2979
PKW2992		
PKW2993		
PKW2994		
PKW2995		
PKW2996		
PKW2997		
PKW2998		
PKW2999		
PKW3		pGEX-2T
PKW30		pKW28 - pC
PKW300		pKW291 - pQE IMP90
PKW3000	/MATERIALS/US2372 /MATERIALS/US5283	pSV271
PKW3001	/MATERIALS/US2372 /MATERIALS/US5283	pSV271
PKW3002	/MATERIALS/US2372 /MATERIALS/US5283	pSV271
PKW3003	/MATERIALS/US2372 /MATERIALS/US5283	pSV271
PKW3004		
PKW3005		pRS414
PKW3006		pRS414
PKW3007		2918
PKW3008		pkw1689
PKW3009		1689
PKW301		pRSET B
PKW3010		
PKW3011		
PKW3012		
PKW3013		
PKW3014		pKW001
PKW3015		pKW001
PKW3016		pKW001
PKW3017		pKW001
PKW3018		pKW001
PKW3019		pKW 760
PKW302		pRSET B
PKW3020	/MATERIALS/US5659 /MATERIALS/US5660	pKW2495
PKW3021		
PKW3022		
PKW3023		
PKW3024		
PKW3025		
PKW3026		
PKW3027		
PKW3028	/MATERIALS/US5657 /MATERIALS/US5658	pKW2837
PKW3029	/MATERIALS/US5657 /MATERIALS/US5658	pKW2837
PKW303		pGEX-CS
PKW3030		pKW2727
PKW3031		pKW2727
PKW3032		pKW2707
PKW3033		pKW2707
PKW3034		pKW760
PKW3035		
PKW3036		
PKW3037		pKW3023
PKW3038		pKW001
PKW3039		pKW001
PKW304		pGEX-2T
PKW3040		pkw2867
PKW3041		pNH605 (pLC130)
PKW3042		pNH605 (pLC130)
PKW3043		pNH605 (pLC130)
PKW3044		pKW3020
PKW3045		pKW2738
PKW3046		pKW804
PKW3047		pKW2407
PKW3048		pKW3046
PKW3049		pKW2707
PKW305		pT7T3
PKW3050		
PKW3051		
PKW3052		
PKW3053		pKW3048
PKW3054		pKW2407
PKW3055		pKW2407
PKW3056		
PKW3057		
PKW3058		pKW350 (pRS316)
PKW3059		pEGFP-C1
PKW306		pBluescript SK-
PKW3060		pKW708
PKW3061		
PKW3062		
PKW3063		pKW3021
PKW3064		pKW3022
PKW3065		pKW953
PKW3066		pkw2312
PKW3067		pkw2321
PKW3068		pkw2421
PKW3069		pkw2312
PKW307		pKW295 - pET Ran
PKW3070		pkw2321
PKW3071		
PKW3072		pkw3066
PKW3073		pkw3067
PKW3074		pkw3068
PKW3075		pcDNA3.1
PKW3076		
PKW3077		
PKW3078		
PKW3079		
PKW308		pBluescript KS+
PKW3080	/MATERIALS/US5746 /MATERIALS/US5747	pGEM
PKW3081	/MATERIALS/US5746 /MATERIALS/US5747	pGEM
PKW3082	/MATERIALS/US5659 /MATERIALS/US5842	pKW1008
PKW3083	/MATERIALS/US5575 /MATERIALS/US5576	pKW3013
PKW3084	/MATERIALS/US5775 /MATERIALS/US5776	pKW3013
PKW3085	/MATERIALS/US5775 /MATERIALS/US5776	pKW3013
PKW3086	/MATERIALS/US5775 /MATERIALS/US5776	pKW3013
PKW3087	/MATERIALS/US5775 /MATERIALS/US5776	pKW3013
PKW3088		
PKW3089		
PKW309		pGEM5
PKW3090		
PKW3091		
PKW3092		
PKW3093		pKW3057
PKW3094		pLC10 (pFA6a-KANmx6-pGAL1-3HA)
PKW3095		
PKW3096		pkw3095
PKW3097		pkw3095
PKW3098		
PKW3099		
PKW31		pKW29 - pC24
PKW310		
PKW3100		
PKW3101		
PKW3102		pKW3602
PKW3103		3102
PKW3104		
PKW3105		pKW3012
PKW3106		pKW3013
PKW3107		3102
PKW3108		pKW709
PKW3109		
PKW311		pBluescript
PKW3110		
PKW3111		
PKW3112		
PKW3113		
PKW3114		
PKW3115		
PKW3116		
PKW3117		
PKW3118		pKW3115
PKW3119		pKW3024
PKW312		pRSET A
PKW3120		pKW3116
PKW3121		pKW3117
PKW3122		
PKW3123		
PKW3124		pKW788
PKW3125		pKW3059
PKW3126		pkw2421
PKW3127		pkw2421
PKW3128		pKW2321
PKW3129		pKW2321
PKW313		pRSET C
PKW3130		
PKW3131		
PKW3132		
PKW3133		
PKW3134		
PKW3135		pKW1008
PKW3136		pKW349
PKW3137		pKW349
PKW3138		pKW349
PKW3139		pKW349
PKW314		pKW312 - pRSET SRP-N
PKW3140		
PKW3141		pKW349
PKW3142		
PKW3143	/MATERIALS/US3482 /MATERIALS/US6051	pKW350
PKW3144		
PKW3145		
PKW3146		
PKW3147	/MATERIALS/US6033	pKW3028
PKW3148		pKW350
PKW3149	/MATERIALS/US6056 /MATERIALS/US6057	pKW3173
PKW315		pRSET C
PKW3150	/MATERIALS/US6058 /MATERIALS/US6059	pKW3173
PKW3151		
PKW3152		
PKW3153		pKW3148
PKW3154		pKW3148
PKW3155		
PKW3156		
PKW3157		pKW3023
PKW3158		pKW3158
PKW3159		
PKW316		
PKW3160		
PKW3161		
PKW3162		pKW3021
PKW3163		
PKW3164		pKW3023
PKW3165		pKW3023
PKW3166		pKW3023
PKW3167		pKW3148
PKW3168		pKW3148
PKW3169		pKW3148
PKW317		pSM56
PKW3170		pKW3148
PKW3171		
PKW3172		pKW2837
PKW3173	/MATERIALS/US6052 /MATERIALS/US6053	pKW3143
PKW3174	/MATERIALS/US6054 /MATERIALS/US6055	pKW3143
PKW3175		pFA6a-KanMx6-pMET3-URL-3HA
PKW3176	/MATERIALS/US6056 /MATERIALS/US6057	pKW3174
PKW3177		pkw2724
PKW3178		pkw2724
PKW3179		
PKW318		pKW317 - pSM56 SRPb -1
PKW3180		
PKW3181		
PKW3182		
PKW3183		
PKW3184		
PKW3185		
PKW3186		
PKW3187		
PKW3188		
PKW3189		
PKW319		pKW312 - pRSET SRP-N
PKW3190		
PKW3191		
PKW3192		
PKW3193		
PKW3194		
PKW3195		
PKW3196		
PKW3197		
PKW3198		
PKW3199		
PKW32		
PKW320		pKW312 - pRSET SRP-N
PKW3200		
PKW3201		
PKW3202	/MATERIALS/US6058 /MATERIALS/US6059	pKW3174
PKW3203		
PKW3204		
PKW3205		pKW3023
PKW3206		
PKW3207		
PKW3208		
PKW3209		
PKW321		pRSET C
PKW3210		
PKW3211		
PKW3212		
PKW3213		
PKW3214		
PKW3215		
PKW3216		
PKW3217		pNH605(XbaI)-pCYC1-3V5
PKW3218		pNH605(XbaI)-pCYC1-3V5
PKW3219		pNH605(XbaI)-pCYC1-3V5-IAA7 (pKW3217)
PKW322		pRSET C
PKW3220		pKW3021
PKW3221		pKW3021
PKW3222		pKW3021
PKW3223		pKW3021
PKW3224		pKW3021
PKW3225		pKW3218-pMET3-URL-3V5
PKW3226		pKW3219-pMET3-3V5-IAA7
PKW3227		pKW3218-pMET3-URL-3V5
PKW3228		pKW3219-pMET3-3V5-IAA7
PKW3229		
PKW323		pBluescript KS+
PKW3230		
PKW3231		pKW3229
PKW3232		
PKW3233		pKW3229
PKW3234		pKW3230
PKW3235		pKW3229
PKW3236		pKW3235
PKW3237		pKW3235
PKW3238		pKW3231
PKW3239		pKW3232
PKW324		pRSET C
PKW3240		pKW3231
PKW3241		pKW3232
PKW3242		
PKW3243		
PKW3244		pKW2544
PKW3245		
PKW3246		
PKW3247		pKW3150
PKW3248		pKW3150
PKW3249		pKW3054
PKW325		pKW313 - pRSET SRP-C
PKW3250		pKW3054
PKW3251		Westermann et al.
PKW3252		Westermann et al.
PKW3253		Westermann et al
PKW3254		pKW2937
PKW3255		pKW2938
PKW3256		pKW3048
PKW3257		pKW3179
PKW3258		pKW3048
PKW3259		pKW3179
PKW326		pRSET C
PKW3260		
PKW3261		pKW3240
PKW3262		pVT100U (Westermann et al.)
PKW3263		PL-452
PKW3264	/MATERIALS/CH106 /MATERIALS/CH6	pKW1689
PKW3265	/MATERIALS/CH106 /MATERIALS/CH6	pKW1689
PKW3266		pMA
PKW3267		
PKW3268		pKW2327
PKW3269		pKW2327
PKW327		pRSET C
PKW3270		
PKW3271		
PKW3272		pKW2546
PKW3273		pKW2546
PKW3274		pKW2546
PKW3275		pKW2546
PKW3276		pKW2546
PKW3277		pKW2546
PKW3278		pKW2546
PKW3279		pKW2546
PKW328		pRSET C
PKW3280		
PKW3281		
PKW3282		
PKW3283		
PKW3284		
PKW3285		
PKW3286		
PKW3287		pKW3251
PKW3288		pKW3251
PKW3289		pKW3251
PKW329		
PKW3291		
PKW3293		
PKW3294		
PKW3295		
PKW3296		
PKW3297		pRS306
PKW3298		
PKW3299		pKW3236
PKW33		pBluescript KS-
PKW330		
PKW3300		pKW3293
PKW3301		
PKW3302		
PKW3303		
PKW3304		
PKW3305		
PKW3306		
PKW3307		pKW3304
PKW3308		
PKW3309		
PKW331		p
PKW3310		pKW3279
PKW3311		pYB1372
PKW3312		pKW788
PKW3313		pYB1602
PKW3317		pYB1372
PKW3318		pKW3401
PKW3319		
PKW332		YEp51
PKW3320		pKW3307
PKW3321		pkw2312
PKW3322		pkw2312
PKW3323		pkw2312
PKW3324		pkw2312
PKW3325		pkw3321
PKW3326		pkw3321
PKW3327		pkw3321
PKW3328		pkw3323
PKW3329		pkw3323
PKW333		pEG202
PKW3330		pkw3326
PKW3331		pkw3326
PKW3332		pkw3328
PKW3333		pkw3331
PKW3334		pkw3326
PKW3335		pkw3327
PKW3336		pkw3324
PKW3337		pkw2421
PKW3338		pkw2421
PKW3339		pkw2421
PKW334		pEG202
PKW3340		pkw2421
PKW3341		pkw3337
PKW3342		pkw3337 (?)
PKW3343		pkw3337
PKW3344		pkw3339
PKW3345		pkw3339
PKW3346		pkw3342 (?)
PKW3347		pkw3342 (?)
PKW3348		pkw3344
PKW3349		pkw3347
PKW335		pEG202
PKW3350		pkw3340
PKW3351		pkw2321
PKW3352		pkw2321
PKW3353		pkw2321
PKW3354		pkw2321
PKW3355		
PKW3356		
PKW3357		
PKW3358		
PKW3359		
PKW336		pJG4-5
PKW3360		
PKW3361		
PKW3362		
PKW3363		
PKW3364		
PKW3365		
PKW3366		
PKW3367		
PKW3368		
PKW3369		
PKW337		pJG4-5
PKW3370		
PKW3372		pKW2544
PKW3373		PKW350
PKW3374		pkw3291
PKW3377		pKW3256
PKW3378		pKW3257
PKW3379		pKW3249
PKW338		pJG4-5
PKW3380		pKW3250
PKW3381		pKW3048
PKW3382		pKW3179
PKW3383		pKW2327
PKW3384		pKW2327
PKW3385		pKW2327
PKW3386		pKW3363-pKW3355
PKW3387		pKW3372
PKW3388		pKW3372
PKW3389		pKW3372
PKW339		
PKW3390		pKW3372
PKW3391		pKW3372
PKW3392		pKW3372
PKW3393		pKW3372
PKW3394		pKW3372
PKW3395		pKW3372
PKW3396	/MATERIALS/CH470	pKW3478
PKW3397		pKW2888
PKW3398		pKW3279
PKW34		
PKW340		
PKW3401	/MATERIALS/CH271	pKW3317
PKW3402		pKW2218
PKW3403		pKW3136
PKW3404		pKW1703
PKW3405		pKW2544
PKW3406		pKW2207
PKW3407		pKW2327
PKW3408		pKW3386
PKW3409		pKW3320
PKW341		
PKW3410		pKW1424
PKW3411		pKW1144
PKW3412		
PKW3413		pKW3235
PKW3414	/MATERIALS/CH271 /MATERIALS/CH310	pKW3279
PKW3415		pKW787
PKW3416		pKW787
PKW3417	/MATERIALS/CH275 /MATERIALS/CH278	pYB1372
PKW3418	/MATERIALS/CH309 /MATERIALS/CH310	pKW3398
PKW3419		pKW3377
PKW342		pRSET C
PKW3420		pKW3377
PKW3421		pKW3377
PKW3422		pKW3377
PKW3423		pKW3379
PKW3424		pKW3379
PKW3425		pKW3379
PKW3426		pKW3379
PKW3427		pKW2424
PKW3428		pKW2424
PKW3429		pKW2424
PKW343		
PKW3430		pKW3377
PKW3431		pKW3378
PKW3433		pKW3394
PKW3434		pKW3408
PKW3435		pKW3434
PKW3437		
PKW3438		
PKW3439		
PKW344		
PKW3440		
PKW3441		pKW2306
PKW3443		pKW2306
PKW3444		pKW3372
PKW3445	/MATERIALS/CH485 /MATERIALS/CH487	pKW3282
PKW3446		pKW3293
PKW3447		pKW3293
PKW3448	/MATERIALS/CH514 /MATERIALS/CH515	pKW3281
PKW3449	/MATERIALS/CH414 /MATERIALS/CH415	pKW3282
PKW345		
PKW3450		pKW3447
PKW3451		pKW3427
PKW3452		pKW3428
PKW3453		pKW3429
PKW3454		pKW3446
PKW3456	/MATERIALS/CH546 /MATERIALS/CH547	pKW3448
PKW3457	/MATERIALS/CH546 /MATERIALS/CH547	pKW3449
PKW3458	/MATERIALS/CH546 /MATERIALS/CH547	pKW3281
PKW3459	/MATERIALS/CH546 /MATERIALS/CH547	pKW3282
PKW346		
PKW3460		pKW3435
PKW3461		pKW3293
PKW3462		pKW3293
PKW3463		pKW2626
PKW3464		pKW001
PKW3465		pKW001
PKW3466		pKW001
PKW3467		pKW3435
PKW3468		pKW3435
PKW3469		pKW3293
PKW347		
PKW3470		pKW3461
PKW3471		pKW2686
PKW3473		pKW2326
PKW3474		pKW2686
PKW3475		pkw3333
PKW3476		pkw3333
PKW3477		pkw2866
PKW3478	/MATERIALS/CH469 /MATERIALS/CH470	pKW2550
PKW3479	/MATERIALS/CH278	pYB1372
PKW348		
PKW3480	/MATERIALS/CH109 /MATERIALS/CH213	pKW787
PKW3481	/MATERIALS/CH279 /MATERIALS/CH290	pRS406
PKW3482		
PKW3483		pkw3333
PKW3484		pkw3333
PKW3486		pKW3302
PKW3487		pkw3475
PKW3488		pkw3333
PKW3489		pkw3461
PKW349		
PKW3490		pkw3461
PKW3491		pkw2967
PKW3492		pkw2968
PKW3493		pkw2969
PKW3494		pkw3004
PKW3495		pkw3005
PKW3496		pkw3006
PKW3497		
PKW3498		
PKW3499		
PKW35		
PKW350		
PKW3500		
PKW3501		pKW3433
PKW3502		pKW3467
PKW3503		pKW3467
PKW3504	/MATERIALS/CH482	pKW1803
PKW3505		pkw3488
PKW3506		pkw3488
PKW3507		pkw3505
PKW3508		
PKW3509		
PKW351		
PKW3510		
PKW3511		
PKW3512		
PKW3513		
PKW3514		
PKW3515		
PKW3516		
PKW3517		pkw3461
PKW3518		pkw3461
PKW3519		pKW3388
PKW352		
PKW3520		pKW2579
PKW3521		
PKW3522		
PKW3523		
PKW3524		
PKW3525		
PKW3526		
PKW3527		
PKW3528		pKW2686
PKW3529		pKW3388 (CEN)
PKW353		
PKW3530		pKW3388 (CEN)
PKW3531		
PKW3532	/MATERIALS/CH271 /MATERIALS/CH290	pKW3297
PKW3533		
PKW3534		
PKW3535		
PKW3536		
PKW3537		
PKW3538		
PKW3539		pKW2208
PKW354		
PKW3540		
PKW3541		
PKW3542		pKW2208
PKW3543		pkw3517
PKW3544		pkw3517
PKW3545		pkw3126
PKW3546		pkw3126
PKW3547		
PKW3548		pKW3154
PKW3549		pKW2899
PKW355		pKW313 - pRSET SRP-C
PKW3550		pkw3543
PKW3551		pkw3453
PKW3552	/MATERIALS/CH781 /MATERIALS/CH782	pKW759
PKW3553	/MATERIALS/CH807 /MATERIALS/CH808	pKW759
PKW3554		
PKW3555		
PKW3556		pKW3528
PKW3557		pKW3528
PKW3558		pKW3528
PKW3559		pKW3528
PKW356		pQE32
PKW3560		pKW3528
PKW3561		pKW2899
PKW3562		pKW3407
PKW3563		pKW3435
PKW3564		pKW3435
PKW3565		pKW3435
PKW3566		pKW3435
PKW3567		pKW3406
PKW3568		pKW3407
PKW3569		pKW2124
PKW357		pKW356 - pQE Ran
PKW3570		pKW2207
PKW3571		
PKW3572		pKW589
PKW3573		pKW589
PKW3574		pKW2575
PKW3575		pKW2575
PKW3576		
PKW3577		
PKW3578		
PKW3579		pKW3529
PKW358		
PKW3580		pKW3529
PKW3581		pKW3529
PKW3582		pKW3529
PKW3583		pKW3416
PKW3584		pKW3562
PKW3585		pKW3401
PKW3586		pKW3417
PKW3587		pKW3532
PKW3588		
PKW3589		
PKW359		
PKW3590		
PKW3591		pKW3580
PKW3592		pKW3569
PKW3593		pKW3569
PKW3594		pKW2124
PKW3595		pKW2124
PKW3596		pKW3398
PKW3597		
PKW3598		pKW3529
PKW3599		pKW3447
PKW36		pSG5
PKW360		
PKW3600		pKW3576
PKW3601		pKW3577
PKW3602		pKW3596
PKW3603		pKW2591
PKW3604		pKW3293
PKW3605		pKW3503
PKW3606		pKW3501
PKW3607		pKW3579
PKW3608		
PKW3609		
PKW361		
PKW3610		pKW3398
PKW3611		
PKW3612		pKW3582
PKW3613		pKW3597
PKW3614		pKW3562 + pKW2744
PKW3615		pKW3562 + pKW3525
PKW3616		pKW3572 + pKW3404
PKW3617		pKW2421
PKW3618		pKW2422
PKW3619		pKW3293
PKW362		
PKW3620		pKW3293
PKW3621		pKW3293
PKW3622		
PKW3623		
PKW3624		pkw2321
PKW3625		pkw2321
PKW3626		pKW3611
PKW3627		
PKW3628		
PKW3629		pKW3611
PKW363		
PKW3630		
PKW3631		pKW3461
PKW3632		pKW3470
PKW3633		pKW3461
PKW3634		pKW3461
PKW3635		pKW3470
PKW3636		pHCA/GAL4 (848). ER pRS306
PKW3637		PKW350
PKW3638		pKW350
PKW3639		pKW3470
PKW364		
PKW3640		pKW3470
PKW3641		pKW3630
PKW3642		pKW3630
PKW3643		pKW3381
PKW3644		pKW3471
PKW3645		pKW3474
PKW3646		pKW3461
PKW365		
PKW366		
PKW367		
PKW368		
PKW369		
PKW37		pKW36 - pSG5-C24
PKW370		
PKW371		
PKW372		pQE70
PKW373		pQE70
PKW374		pBluescript SK+
PKW375		pGEX-2T
PKW376		pRSET A
PKW377		pRSET A
PKW378		
PKW379		
PKW38		pRSET B
PKW380		
PKW381		
PKW382		
PKW383	/MATERIALS/US1 /MATERIALS/US2	pKW348 - pRS314
PKW384		pKW230 - pRSET XCons
PKW385		pKW15 - pVT202-U
PKW386	/MATERIALS/US3 /MATERIALS/US4	pKW383 - pRS-LexA
PKW387		pKW386 - pRSLexA-B42-HA
PKW388		pKW386 - pRSLexA-B42-HA
PKW389		pKW344 - pRS314-G
PKW39		pKW29 - pC24
PKW390		pKW345 - pRS315 G
PKW391		pKW343 - pRS313 G
PKW392	/MATERIALS/US1 /MATERIALS/US2	pKW354 - pRS426
PKW393		pKW352 - pRS424
PKW394	/MATERIALS/US15 /MATERIALS/US16	pKW393 - pRS424 (G)
PKW395		pT7T3
PKW396		pBluescript SK
PKW397		pT7T3D
PKW398		pT7T3D
PKW399		pGEM-3Z (modified)
PKW4		pSG5
PKW40		pJG4-5
PKW400		pGEM-3Z modified
PKW401	/MATERIALS/US17	pKW387 - pRS386-NES
PKW402	/MATERIALS/US17	pKW388 - pRS386-P12
PKW403	/MATERIALS/US17	pKW401 - pNES-cGFP
PKW404	/MATERIALS/US17	pKW402 - pP12-cGFP
PKW405		
PKW406	/MATERIALS/US11 /MATERIALS/US13	pKW321 - pRSET bGal
PKW407	/MATERIALS/US11 /MATERIALS/US14	pKW321 - pRSET bGal
PKW408	/MATERIALS/US12 /MATERIALS/US14	pKW321 - pRSET bGal
PKW409	/MATERIALS/US21 /MATERIALS/US22	pKW387 - pRS386-NES
PKW41		pJG4-5
PKW410	/MATERIALS/US21 /MATERIALS/US22	pKW388 - pRS386-P12
PKW411		pKW351 - pRS423
PKW412		pKW354 - pRS426
PKW413		pKW411 - pRS423-Gal
PKW414		pKW411 - pRS423-Gal
PKW415		pKW412 - pRS426-Gal
PKW416		pKW412 - pRS426-Gal
PKW417		pKW415 - p426NLS-GFP-NES
PKW418		pKW416 - p426NLS-GFP-P12
PKW419		pBluescript KS-
PKW42		pJG4-5
PKW420		
PKW421		pKW351 - pRS423
PKW422		pKW394 - pProie
PKW423		pKW394 - pProie
PKW424	/MATERIALS/US23 /MATERIALS/US24	pKW417 - pAdhNLS-GFP-NES
PKW425	/MATERIALS/US23 /MATERIALS/US24	pKW417 - pAdhNLS-GFP-NES
PKW426		pKW343 - pRS313-G
PKW427	/MATERIALS/US27 /MATERIALS/US28	pKW387 - pRS386-NES
PKW428	/MATERIALS/US27 /MATERIALS/US28	pKW387 - pRS386-NES
PKW429		pCMV4
PKW43		pJG4-5
PKW430	/MATERIALS/US21 /MATERIALS/US25	pKW417 - pAdhNLS-GFP-NES
PKW431	/MATERIALS/US21 /MATERIALS/US25	pKW418 - pAdhNLS-GFP-P12
PKW432		pKW352 - pRS424
PKW433		pKW352 - pRS424
PKW434		pBS KS+ GFP
PKW435		pKW434 - pBS CRM1-GFPts
PKW436		YCP50
PKW437		pKW434 - pBS CRM1-GFPts
PKW438	/MATERIALS/US29	pKW343 - pRS313-G
PKW439	/MATERIALS/US29	pKW343 - pRS313-G
PKW44		pJG4-5
PKW440	/MATERIALS/US29	pKW347 - pRS313
PKW441	/MATERIALS/US29	pKW347 - pRS313
PKW442	/MATERIALS/US29	pKW158 - pEG202
PKW443		pKW392 - pAppat
PKW444		pKW392 - pAppat
PKW445		pKW392 - pAppat
PKW446		pKW392 - pAppat
PKW447		pKW392 - pAppat
PKW448		pKW392 - pAppat
PKW449		
PKW45		pJG4-5
PKW450		
PKW451	/MATERIALS/US22 /MATERIALS/US30	pKW352 - pRS424
PKW452	/MATERIALS/US22 /MATERIALS/US31	pKW344 - pRS314-G
PKW453		pKW452 - pIBB-GFP-B42
PKW454		pKW392 - pAppat
PKW455		pBS-GFP
PKW456		pKW347 - pRS313
PKW457		pKW456 - pRS-crm1-1-GFP
PKW458		pBluescript SK-
PKW459		pKW394 - pProie
PKW46		pJG4-5
PKW460		LR1Del1
PKW461		LR1Del1
PKW462	/MATERIALS/US12 /MATERIALS/US14	pKW392 - pAppat
PKW463		pKW415 - p426NLS-GFP-NES
PKW464		pKW415 - p426NLS-GFP-NES
PKW465		pBS KS+ GFP
PKW466		YCP50
PKW467		pKW347 - pRS313
PKW468		pKW347 - pRS313
PKW469		pKW394 - pProie
PKW47		pJG4-5
PKW470		pKW347 - pRS313
PKW471		pKW164 - pJG4-5
PKW472		pKW158 - pEG202
PKW473		pKW158 - pEG202
PKW474	/MATERIALS/US42 /MATERIALS/US43	pKW158 - pEG202
PKW475		pKW164 - pJG4-5
PKW476		
PKW477		YCP50
PKW478	/MATERIALS/US29	pKW346 - pRS316-G
PKW479	/MATERIALS/US44 /MATERIALS/US45	pKW392 - pAppat
PKW48		pJG4-5
PKW480	/MATERIALS/US46 /MATERIALS/US47	pKW392 - pAppat
PKW481	/MATERIALS/US44 /MATERIALS/US45	pKW321 - pRSET bGal
PKW482	/MATERIALS/US46 /MATERIALS/US47	pKW321 - pRSET bGal
PKW483		pKW472 - pEG GFP-NES
PKW484		pKW473 - pEG GFP-P12
PKW485		pET30-a(+)
PKW486		
PKW487		
PKW488		pKW485 - pET p97
PKW489		
PKW49		pJG4-5
PKW490		
PKW491		pBluescript
PKW492		pKW158 - pEG202
PKW493		pKW158 - pEG202
PKW494		pKW158 - pEG202
PKW495		pKW158 - pEG202
PKW496		pKW158 - pEG202
PKW497		pKW164 - pJG4-5 colony
PKW498		pKW164 - pJG4-5 colony
PKW499	/MATERIALS/US50 /MATERIALS/US51	pKW417 - pAdhNLS-GFP-NES
PKW5		pSG5
PKW50		pJG4-5
PKW500	/MATERIALS/US52 /MATERIALS/US53	pKW417 - pAdhNLS-GFP-NES
PKW501	/MATERIALS/US50 /MATERIALS/US51	pKW158 - pEG202
PKW502	/MATERIALS/US52 /MATERIALS/US53	pKW158 - pEG202
PKW503		
PKW504	/MATERIALS/US48 /MATERIALS/US49	pKW467 - pRS CRM1-A1
PKW505	/MATERIALS/US48 /MATERIALS/US49	pKW468 - pRS CRM1-A2
PKW506	/MATERIALS/US34 /MATERIALS/US36	pBluescript KS+
PKW507	/MATERIALS/US34 /MATERIALS/US36	pBluescript KS+
PKW508		pKW472 - pEG NES-GFP
PKW509		pKW472 - pEG NES-GFP
PKW51		pJG4-5
PKW510		pBluescript SK
PKW511		pKW349 - pRS315
PKW512		pKW511 - pSW503
PKW513		
PKW514		YCp50-LEU2
PKW515		pRS316
PKW516		
PKW517		
PKW518		
PKW519		
PKW52		pJG4-5
PKW520		pEGFP-C1
PKW521	/MATERIALS/US58 /MATERIALS/US59	pKW417 - pAdhNLS-GFP-NES
PKW522		pKW351
PKW523		
PKW524		
PKW525		pRSET A
PKW526		pKW158 - pEG202
PKW527		pKW158 - pEG202
PKW528		pKW164 - pJG4-5 colony
PKW529		
PKW53		pJG4-5
PKW530		
PKW531		
PKW532		
PKW533		pcDNA3 (Invitrogen)
PKW534		pcDNA3
PKW535		pKW164 - pJG4-5 colony
PKW536		pKW158 - pEG202
PKW537	/MATERIALS/US60	pKW347 - pRS313
PKW538		pKW164 - pJG4-5 colony
PKW539		pKW164 - pJG4-5 colony
PKW54		pJG4-5
PKW540		pKW164 - pJG4-5 colony
PKW541		pKW164 - pJG4-5 colony
PKW542		pKW348 - pRS314
PKW543		pKW350 - pRS316
PKW544		pRSET C
PKW545		pRSET B
PKW546		pKW394 - pProie
PKW547		pRSET B
PKW548		pRSET B
PKW549		pRSET B
PKW55		pJG4-5
PKW550		pRSET B
PKW551		pKW349 - pRS315
PKW552		pKW348 - pRS314
PKW553		pKW158 - pEG202
PKW554		pEG202
PKW555		pJG4-5
PKW556	/MATERIALS/US69 /MATERIALS/US70	pKW301 - pRSET Ran
PKW557		pZZ70
PKW558		pZZ70
PKW559		
PKW56		pJG4-5
PKW560		
PKW561		
PKW562		
PKW563		
PKW564		pRS303
PKW565		pKW230 - pRSET XCons
PKW566		pRSET C
PKW567		
PKW568	/MATERIALS/US75 /MATERIALS/US76	pKW558 - pZZ70
PKW569		pRSET B
PKW57		pJG4-5
PKW570		pKW394 - pProie
PKW571		pQE9
PKW572	/MATERIALS/US76 /MATERIALS/US83	pKW567 - pQE9
